lat_deg,f00_off_log2,f00_on_log2,f00_off_dev,f00_on_dev,f32_off_log2,f32_on_log2,f32_off_dev,f32_on_dev,f64_off_log2,f64_on_log2,f64_off_dev,f64_on_dev
29.927,-2.78425,-2.78425,0.24224,0.21943,-2.79213,-2.79213,0.24332,0.22683,-2.79901,-2.79901,0.23193,0.21924
29.839,-2.78685,-2.78685,0.23994,0.21731,-2.79481,-2.79481,0.24100,0.22460,-2.79692,-2.79692,0.23432,0.22183
29.751,-2.78849,-2.78849,0.23860,0.21615,-2.79923,-2.79923,0.23694,0.22065,-2.79736,-2.79736,0.23418,0.22189
29.663,-2.78928,-2.78928,0.23811,0.21584,-2.80491,-2.80491,0.23163,0.21544,-2.79615,-2.79615,0.23569,0.22360
29.575,-2.79009,-2.79009,0.23760,0.21552,-2.80678,-2.80678,0.23013,0.21403,-2.79701,-2.79701,0.23513,0.22324
29.487,-2.79164,-2.79164,0.23636,0.21446,-2.80720,-2.80720,0.23008,0.21408,-2.80022,-2.80022,0.23222,0.22053
29.399,-2.79382,-2.79382,0.23448,0.21276,-2.80769,-2.80769,0.22996,0.21406,-2.80712,-2.80712,0.22562,0.21413
29.312,-2.79624,-2.79624,0.23237,0.21083,-2.81028,-2.81028,0.22774,0.21194,-2.81423,-2.81423,0.21882,0.20753
29.224,-2.79874,-2.79874,0.23017,0.20881,-2.81269,-2.81269,0.22570,0.21000,-2.82148,-2.82148,0.21188,0.20079
29.136,-2.80254,-2.80254,0.22668,0.20551,-2.81351,-2.81351,0.22525,0.20966,-2.82742,-2.82742,0.20625,0.19535
29.048,-2.80469,-2.80469,0.22484,0.20384,-2.81465,-2.81465,0.22449,0.20899,-2.82895,-2.82895,0.20504,0.19434
28.960,-2.80698,-2.80698,0.22287,0.20205,-2.81771,-2.81771,0.22181,0.20641,-2.82859,-2.82859,0.20571,0.19521
28.872,-2.81080,-2.81080,0.21936,0.19873,-2.82009,-2.82009,0.21980,0.20450,-2.82794,-2.82794,0.20668,0.19637
28.784,-2.81371,-2.81371,0.21677,0.19631,-2.81844,-2.81844,0.22183,0.20663,-2.82884,-2.82884,0.20609,0.19598
28.696,-2.81824,-2.81824,0.21256,0.19228,-2.81882,-2.81882,0.22184,0.20673,-2.83093,-2.83093,0.20432,0.19440
28.608,-2.82182,-2.82182,0.20930,0.18919,-2.82236,-2.82236,0.21867,0.20366,-2.83364,-2.83364,0.20193,0.19221
28.521,-2.82646,-2.82646,0.20498,0.18505,-2.82665,-2.82665,0.21477,0.19986,-2.83634,-2.83634,0.19956,0.19002
28.433,-2.82830,-2.82830,0.20346,0.18371,-2.83047,-2.83047,0.21133,0.19652,-2.83921,-2.83921,0.19701,0.18767
28.345,-2.82896,-2.82896,0.20313,0.18355,-2.83330,-2.83330,0.20890,0.19418,-2.84038,-2.84038,0.19617,0.18702
28.257,-2.82818,-2.82818,0.20424,0.18484,-2.83599,-2.83599,0.20659,0.19197,-2.84341,-2.84341,0.19347,0.18450
28.169,-2.82728,-2.82728,0.20547,0.18624,-2.83937,-2.83937,0.20360,0.18907,-2.84823,-2.84823,0.18897,0.18020
28.081,-2.82978,-2.82978,0.20330,0.18424,-2.84435,-2.84435,0.19901,0.18458,-2.85346,-2.85346,0.18408,0.17549
27.993,-2.83169,-2.83169,0.20172,0.18284,-2.84657,-2.84657,0.19719,0.18285,-2.85832,-2.85832,0.17955,0.17115
27.905,-2.83488,-2.83488,0.19887,0.18016,-2.84887,-2.84887,0.19528,0.18104,-2.85815,-2.85815,0.18006,0.17185
27.817,-2.83879,-2.83879,0.19529,0.17675,-2.84967,-2.84967,0.19487,0.18073,-2.85710,-2.85710,0.18144,0.17342
27.729,-2.84118,-2.84118,0.19324,0.17487,-2.85250,-2.85250,0.19244,0.17839,-2.85713,-2.85713,0.18175,0.17391
27.642,-2.84305,-2.84305,0.19171,0.17352,-2.85479,-2.85479,0.19055,0.17659,-2.85769,-2.85769,0.18153,0.17388
27.554,-2.84534,-2.84534,0.18977,0.17174,-2.85727,-2.85727,0.18848,0.17461,-2.85996,-2.85996,0.17961,0.17214
27.466,-2.85014,-2.85014,0.18531,0.16745,-2.85979,-2.85979,0.18635,0.17259,-2.86477,-2.86477,0.17514,0.16785
27.378,-2.85490,-2.85490,0.18089,0.16320,-2.86192,-2.86192,0.18462,0.17095,-2.87004,-2.87005,0.17021,0.16311
27.290,-2.85940,-2.85939,0.17674,0.15922,-2.86425,-2.86424,0.18270,0.16912,-2.87447,-2.87448,0.16613,0.15920
27.202,-2.86325,-2.86324,0.17324,0.15590,-2.86656,-2.86655,0.18080,0.16732,-2.87632,-2.87633,0.16463,0.15788
27.114,-2.86333,-2.86332,0.17351,0.15634,-2.86903,-2.86900,0.17874,0.16536,-2.87623,-2.87625,0.16507,0.15850
27.026,-2.86268,-2.86266,0.17451,0.15752,-2.87186,-2.87183,0.17631,0.16304,-2.87785,-2.87788,0.16380,0.15740
26.938,-2.86470,-2.86468,0.17284,0.15602,-2.87589,-2.87584,0.17270,0.15953,-2.87961,-2.87964,0.16241,0.15617
26.851,-2.86650,-2.86646,0.17140,0.15475,-2.88017,-2.88011,0.16882,0.15576,-2.88437,-2.88442,0.15799,0.15193
26.763,-2.86981,-2.86977,0.16844,0.15197,-2.88514,-2.88507,0.16427,0.15131,-2.88924,-2.88929,0.15349,0.14759
26.675,-2.87307,-2.87301,0.16555,0.14925,-2.89003,-2.88994,0.15980,0.14695,-2.89488,-2.89494,0.14821,0.14248
26.587,-2.87649,-2.87643,0.16248,0.14636,-2.89562,-2.89552,0.15462,0.14188,-2.89870,-2.89878,0.14475,0.13918
26.499,-2.88088,-2.88080,0.15846,0.14251,-2.90050,-2.90037,0.15016,0.13753,-2.90019,-2.90029,0.14362,0.13821
